날짜,종가
2013-05-01,14839.8
2013-05-02,14700.95
2013-05-03,14831.58
2013-05-06,14973.96
2013-05-07,14968.89
2013-05-08,15056.2
2013-05-09,15105.12
2013-05-10,15082.62
2013-05-13,15118.49
2013-05-14,15091.68
2013-05-15,15215.25
2013-05-16,15275.69
2013-05-17,15233.22
2013-05-20,15354.4
2013-05-21,15335.28
2013-05-22,15387.58
2013-05-23,15307.17
2013-05-24,15294.5
2013-05-28,15303.1
2013-05-29,15409.39
2013-05-30,15302.8
2013-05-31,15324.53
2013-06-03,15115.57
2013-06-04,15254.03
2013-06-05,15177.54
2013-06-06,14960.59
2013-06-07,15040.62
2013-06-10,15248.12
2013-06-11,15238.59
2013-06-12,15122.02
2013-06-13,14995.23
2013-06-14,15176.08
2013-06-17,15070.18
2013-06-18,15179.85
2013-06-19,15318.23
2013-06-20,15112.19
2013-06-21,14758.32
2013-06-24,14799.4
2013-06-25,14659.56
2013-06-26,14760.31
2013-06-27,14910.14
2013-06-28,15024.49
2013-07-01,14909.6
2013-07-02,14974.96
2013-07-03,14932.41
2013-07-05,14988.55
2013-07-08,15135.84
2013-07-09,15224.69
2013-07-10,15300.34
2013-07-11,15291.66
2013-07-12,15460.92
2013-07-15,15464.3
2013-07-16,15484.26
2013-07-17,15451.85
2013-07-18,15470.52
2013-07-19,15548.54
2013-07-22,15543.74
2013-07-23,15545.55
2013-07-24,15567.74
2013-07-25,15542.24
2013-07-26,15555.61
2013-07-29,15558.83
2013-07-30,15521.97
2013-07-31,15520.59
2013-08-01,15499.54
2013-08-02,15628.02
2013-08-05,15658.36
2013-08-06,15612.13
2013-08-07,15518.74
2013-08-08,15470.67
2013-08-09,15498.32
2013-08-12,15425.51
2013-08-13,15419.68
2013-08-14,15451.01
2013-08-15,15337.66
2013-08-16,15112.19
2013-08-19,15081.47
2013-08-20,15010.74
2013-08-21,15002.99
2013-08-22,14897.55
2013-08-23,14963.74
2013-08-26,15010.51
2013-08-27,14946.46
2013-08-28,14776.13
2013-08-29,14824.51
2013-08-30,14840.95
2013-09-03,14810.31
2013-09-04,14833.96
2013-09-05,14930.87
2013-09-06,14937.48
2013-09-09,14922.5
2013-09-10,15063.12
2013-09-11,15191.06
2013-09-12,15326.6
2013-09-13,15300.64
2013-09-16,15376.06
2013-09-17,15494.78
2013-09-18,15529.73
2013-09-19,15676.94
2013-09-20,15636.55
2013-09-23,15451.09
2013-09-24,15401.38
2013-09-25,15334.59
