날짜,종가
2017-01-25,18.055
2017-01-24,18.264
2017-01-23,18.267
2017-01-22,17.182
2017-01-20,18.109
2017-01-19,18.076
2017-01-18,18.356
2017-01-17,18.231
2017-01-16,16.832
2017-01-15,16.898
2017-01-13,17.847
2017-01-12,17.909
2017-01-11,17.913
2017-01-10,17.92
2017-01-09,17.734
2017-01-08,16.557
2017-01-06,17.559
2017-01-05,17.675
2017-01-04,17.593
2017-01-03,17.448
2017-01-02,16.015
2016-12-30,17.027
2016-12-29,17.261
2016-12-28,17.073
2016-12-27,17.023
2016-12-26,15.825
2016-12-23,16.793
2016-12-22,16.906
2016-12-21,17.021
2016-12-20,17.16
2016-12-19,17.131
2016-12-18,16.163
2016-12-16,17.26
2016-12-15,17.009
2016-12-14,18.288
2016-12-13,18.044
2016-12-12,18.263
2016-12-11,16.968
2016-12-09,17.915
2016-12-08,18.046
2016-12-07,18.23
2016-12-06,17.757
2016-12-05,17.858
2016-12-04,16.862
2016-12-02,17.796
2016-12-01,17.472
2016-11-30,17.441
2016-11-29,17.701
2016-11-28,17.633
2016-11-25,17.504
2016-11-24,16.343
2016-11-23,17.435
2016-11-22,17.68
2016-11-21,17.542
2016-11-20,16.553
2016-11-18,17.642
2016-11-17,17.797
2016-11-16,17.945
2016-11-15,18.055
2016-11-14,17.905
2016-11-13,17.457
2016-11-11,18.407
2016-11-10,19.784
2016-11-09,19.433
2016-11-08,19.41
2016-11-07,19.21
2016-11-06,18.175
2016-11-04,19.433
2016-11-03,19.469
2016-11-02,19.742
2016-11-01,19.461
2016-10-31,18.822
2016-10-30,17.84
2016-10-28,18.822
2016-10-27,18.658
2016-10-26,18.659
2016-10-25,18.828
2016-10-24,18.657
2016-10-23,17.525
2016-10-21,18.549
2016-10-20,18.606
2016-10-19,18.725
2016-10-18,18.705
2016-10-17,18.528
2016-10-16,17.462
2016-10-14,18.494
2016-10-13,18.511
2016-10-12,18.557
2016-10-11,18.565
2016-10-10,18.716
2016-10-09,17.712
2016-10-07,18.429
2016-10-06,18.394
2016-10-05,18.747
2016-10-04,18.828
2016-10-03,19.933
2016-10-02,19.218
2016-09-30,20.281
2016-09-29,20.256
2016-09-28,20.189
2016-09-27,20.23
2016-09-26,20.658
2016-09-25,19.782
2016-09-23,20.858
2016-09-22,21.146
2016-09-21,20.809
2016-09-20,20.316
2016-09-19,20.329
2016-09-18,18.883
2016-09-16,19.9
2016-09-15,20.068
2016-09-14,20.093
2016-09-13,20.001
2016-09-12,20.026
