적용일자,총수익지수,전일대비,순가격지수,전일대비
2011-08-02,133.99,0.18,103.84,0.14
2011-08-03,134.32,0.33,104.08,0.24
2011-08-04,134.58,0.26,104.27,0.19
2011-08-05,135.13,0.55,104.68,0.41
2011-08-08,135.03,-0.1,104.59,-0.09
2011-08-09,135.12,0.09,104.64,0.05
2011-08-10,135.68,0.56,105.07,0.43
2011-08-11,135.69,0.01,105.07,0
2011-08-12,135.82,0.13,105.13,0.06
2011-08-16,135.72,-0.1,105.04,-0.09
2011-08-17,135.66,-0.06,104.99,-0.05
2011-08-18,135.65,-0.01,104.96,-0.03
2011-08-19,136.03,0.38,105.23,0.27
2011-08-22,136.09,0.06,105.27,0.04
2011-08-23,135.93,-0.16,105.13,-0.14
2011-08-24,136.15,0.22,105.29,0.16
2011-08-25,136.2,0.05,105.32,0.03
2011-08-26,136.22,0.02,105.31,-0.01
2011-08-29,136.1,-0.12,105.2,-0.11
2011-08-30,136.2,0.1,105.27,0.07
2011-08-31,136.18,-0.02,105.24,-0.03
2011-09-01,136.45,0.27,105.44,0.2
2011-09-02,136.58,0.13,105.51,0.07
2011-09-05,137.12,0.54,105.93,0.42
2011-09-06,137.04,-0.08,105.85,-0.08
2011-09-07,136.87,-0.17,105.71,-0.14
2011-09-08,136.95,0.08,105.75,0.04
2011-09-09,137.21,0.26,105.91,0.16
2011-09-14,137.56,0.35,106.17,0.26
2011-09-15,137.2,-0.36,105.88,-0.29
2011-09-16,137.02,-0.18,105.71,-0.17
2011-09-19,136.5,-0.52,105.3,-0.41
2011-09-20,136.59,0.09,105.35,0.05
2011-09-21,136.39,-0.2,105.19,-0.16
2011-09-22,136.5,0.11,105.26,0.07
2011-09-23,136.85,0.35,105.51,0.25
2011-09-26,136.64,-0.21,105.33,-0.18
2011-09-27,136.88,0.24,105.51,0.18
2011-09-28,136.42,-0.46,105.14,-0.37
2011-09-29,136.39,-0.03,105.11,-0.03
2011-09-30,136.38,-0.01,105.06,-0.05
2011-10-04,136.85,0.47,105.41,0.35
2011-10-05,136.99,0.14,105.51,0.1
2011-10-06,137.02,0.03,105.52,0.01
2011-10-07,136.95,-0.07,105.44,-0.08
2011-10-10,136.84,-0.11,105.34,-0.1
2011-10-11,136.88,0.04,105.37,0.03
2011-10-12,136.97,0.09,105.43,0.06
2011-10-13,137.24,0.27,105.63,0.2
2011-10-14,137.33,0.09,105.67,0.04
2011-10-17,136.9,-0.43,105.32,-0.35
2011-10-18,137.05,0.15,105.43,0.11
2011-10-19,137.12,0.07,105.47,0.04
2011-10-20,137.08,-0.04,105.43,-0.04
2011-10-21,136.71,-0.37,105.11,-0.32
2011-10-24,136.66,-0.05,105.06,-0.05
2011-10-25,136.67,0.01,105.06,0
2011-10-26,136.87,0.2,105.2,0.14
2011-10-27,136.82,-0.05,105.15,-0.05
2011-10-28,136.63,-0.19,104.98,-0.17
2011-10-31,136.97,0.34,105.23,0.25
2011-11-01,137.18,0.21,105.38,0.15
2011-11-02,137.22,0.04,105.4,0.02
2011-11-03,137.34,0.12,105.49,0.09
2011-11-04,137.31,-0.03,105.43,-0.06
2011-11-07,137.48,0.17,105.55,0.12
2011-11-08,137.58,0.1,105.62,0.07
2011-11-09,137.61,0.03,105.63,0.01
2011-11-10,137.87,0.26,105.82,0.19
2011-11-11,137.66,-0.21,105.63,-0.19
2011-11-14,137.54,-0.12,105.53,-0.1
2011-11-15,137.66,0.12,105.61,0.08
2011-11-16,137.84,0.18,105.74,0.13
2011-11-17,137.7,-0.14,105.62,-0.12
2011-11-18,137.81,0.11,105.68,0.06
2011-11-21,137.83,0.02,105.68,0
2011-11-22,137.75,-0.08,105.61,-0.07
2011-11-23,137.91,0.16,105.72,0.11
2011-11-24,137.96,0.05,105.75,0.03
2011-11-25,137.73,-0.23,105.54,-0.21
2011-11-28,137.66,-0.07,105.48,-0.06
2011-11-29,137.73,0.07,105.52,0.04
2011-11-30,138,0.27,105.72,0.2
2011-12-01,137.91,-0.09,105.64,-0.08
2011-12-02,137.98,0.07,105.67,0.03
2011-12-05,138.04,0.06,105.7,0.03
2011-12-06,138.02,-0.02,105.67,-0.03
2011-12-07,138.06,0.04,105.69,0.02
2011-12-08,137.98,-0.08,105.62,-0.07
2011-12-09,138,0.02,105.6,-0.02
2011-12-12,138.04,0.04,105.62,0.02
2011-12-13,138.14,0.1,105.69,0.07
2011-12-14,138.2,0.06,105.73,0.04
2011-12-15,138.27,0.07,105.77,0.04
2011-12-16,138.25,-0.02,105.72,-0.05
2011-12-19,137.82,-0.43,105.38,-0.34
2011-12-20,138.1,0.28,105.59,0.21
2011-12-21,138.18,0.08,105.64,0.05
2011-12-22,138.16,-0.02,105.61,-0.03
2011-12-23,138.07,-0.09,105.51,-0.1
2011-12-26,138.13,0.06,105.54,0.03
2011-12-27,138.12,-0.01,105.53,-0.01
2011-12-28,138.14,0.02,105.53,0
2011-12-29,138.56,0.42,105.81,0.28
2012-01-02,138.49,-0.07,105.75,-0.06
2012-01-03,138.45,-0.04,105.71,-0.04
2012-01-04,138.44,-0.01,105.69,-0.02
2012-01-05,138.51,0.07,105.73,0.04
2012-01-06,138.53,0.02,105.72,-0.01
2012-01-09,138.43,-0.1,105.63,-0.09
2012-01-10,138.45,0.02,105.63,0
